pageid,ns,title,extract
223941,0,Jorge Chavez International Airport,
32030489,0,2 de Julho International Airport,
32663456,0,4 de Fevereiro International Airport,
14565253,0,A.B. Won Guam International Airport,
20620934,0,A.B. Won Pat International Airport,
42528305,0,A.L. Rodriguez International Airport,
52910625,0,A.L. Rodríguez International Airport,
2671003,0,A.N.R. Robinson International Airport,"A. N. R. Robinson International Airport (formerly Crown Point International Airport) (IATA: TAB, ICAO: TTCP) is an international airport located on Crown Point, Tobago in Trinidad and Tobago.  It is located in the southwesternmost part of the island, near the town of Canaan, and 11 km (6.8 mi) from the capital, Scarborough.  The airport is one of two international airports serving the twin isle republic of Trinidad and Tobago. The other airport is located on the island of Trinidad, Piarco International Airport.

"
20620930,0,A. B. Won Pat International Airport,
26138311,0,A. Kabua International Airport,
31829890,0,A. N. R. Robinson International Airport,
29179180,0,AB WonPat International Airport,
57514922,0,APT Pranoto International Airport,
44280299,0,Aadan Cadde International Airport,
68616800,0,Aba Tenna Dejazmach Yilma International Airport,
56318658,0,Abadan-Ayatollah Jami International Airport,
8199565,0,Abadan International Airport,"Abadan International Airport (IATA: ABD, ICAO: OIAA) is situated 12 kilometers away from the city of Abadan, Iran.

"
12550551,0,Abakan International Airport,"Abakan International Airport (Russian: Международный Аэропорт Абакан, IATA: ABA, ICAO: UNAA) is an airport located in Abakan, Republic of Khakassia, Russia.
The airport is located to the north of the city not far from the city limits. City bus and trolleybus connections are available. It is the only airport in the region (Khakassia and south of Krasnoyarsk Kray) suitable for all types of aircraft."
1129850,0,Abbotsford International Airport,"Abbotsford International Airport (IATA: YXX, ICAO: CYXX) is located in Abbotsford, British Columbia, Canada, 2.2 nautical miles (4.1 km; 2.5 mi) southwest of the city centre. It is the second largest airport in the Lower Mainland region of British Columbia, after Vancouver International Airport (YVR), and is in close proximity to British Columbia Highway 1, and the US border. It is located about 65 kilometres (40 mi) from downtown Vancouver.
YXX offers daily domestic scheduled services and seasonal international scheduled services. The airport is equipped with a CAT 1 instrument landing system, on-site aircraft rescue and firefighting, and a fully serviced air terminal building with customs and passenger screening. It is classified as an airport of entry by Nav Canada and is staffed by the Canada Border Services Agency (CBSA) for all scheduled international arrivals. CBSA also provides clearance services to all general aviation aircraft with no more than 15 passengers.Abbotsford Airport has a longstanding general aviation community and an established aerospace community, including Cascade Aerospace, the Conair Group, and the University of the Fraser Valley Aerospace Centre.
Abbotsford Airport is also home to the Abbotsford Shell Aerocentre FBO and flying schools, such as Coastal Pacific Aviation, Principal Air and Chinook Helicopters. YXX is highly visible to the public due to the Abbotsford International Airshow, Defense & Security Expo, and Tradex events centre.
There are approximately 87 hectares (215 acres) of land immediately available for airside and landside development. In 2008, 503,693 passengers passed through Abbotsford International Airport and 477,087 in 2014.In 2018, the airport announced it will undergo a $5 million, 14-000 square foot expansion to add new gates and additional passenger seating capacity."
50171407,0,Abdullahi Yusuf International Airport,
6810083,0,Abeid Amani Karume International Airport,"Abeid Amani Karume International Airport (Swahili: Uwanja wa Ndege wa Kimataifa wa Abeid Amani Karume, IATA: ZNZ, ICAO: HTZA) is the main airport in the Zanzibar Archipelago located on Unguja Island. It is approximately 5 kilometres (3.1 mi) south of Zanzibar City, the capital of Zanzibar, and has flights to East Africa, Europe, and the Middle East.
It was previously known as Kisauni Airport and Zanzibar International Airport. It was renamed in 2010 in honour of Abeid Amani Karume, the island's first president.
South approach and departures are over the water. The Zanzibar VOR-DME (Ident: ZV) is located 0.4 nautical miles (741 m) off the south end of the runway. The Zanzibar non-directional beacon (Ident: ZZ) is located on the field.

"
38259636,0,Abeid Karume International Airport,
15429422,0,Abelardo L. Rodríguez International Airport,
7472492,0,Aberdeen International Airport,
7472503,0,Aberdeen international airport,
9419420,0,Abha International Airport,"Abha International Airport (Arabic: مطار أبهـــا الدولي, IATA: AHB, ICAO: OEAB) is an airport in Abha, the capital of 'Asir Province in Saudi Arabia.
The airport has services to several domestic airports within the Kingdom. It also offers international flights to Aden and Sana'a in Yemen, Cairo in Egypt, Doha in Qatar, and nonstop flights to Dubai and Sharjah in the UAE.
The site was a new construction area between the cities of Khamis Mushait and Abha, and served both equally. Construction of the airport was started in mid-1975 by Laing Wimpey Alireza. Earlier, domestic flights had been handled at the military airport near Khamis Mushait. The airport was launched in 1977. The construction was carried out by the Bin Trif Airport ltd (Indian base Airport company)."
31506264,0,Abidjan International Airport,
34418241,0,Abidjan international airport,
487826,0,Abou Dhabi International Airport,
4273251,0,Abraham Gonzalez International Airport,
52453938,0,Abraham González International Airport,
24512346,0,Abruzzo International Airport,
